Sample ID,Run,Tributary,Bam,Coverage,Source
DPCh_plate1_C05_S29,Fall,Feather River Hatchery Fall,/home/maccamp/shernook/bams/DPCh_plate1_C05_S29.bam,1.79118,Existing
DPCh_plate1_C06_S30,Fall,Feather River Hatchery Fall,/home/maccamp/shernook/bams/DPCh_plate1_C06_S30.bam,1.32261,Existing
DPCh_plate1_C07_S31,Spring,Feather River Hatchery Spring,/home/maccamp/shernook/bams/DPCh_plate1_C07_S31.bam,0.507718,Existing
DPCh_plate1_C08_S32,Spring,Feather River Hatchery Spring,/home/maccamp/shernook/bams/DPCh_plate1_C08_S32.bam,1.4213,Existing
DPCh_plate1_D05_S41,Fall,Feather River Hatchery Fall,/home/maccamp/shernook/bams/DPCh_plate1_D05_S41.bam,1.38435,Existing
DPCh_plate1_D06_S42,Fall,Feather River Hatchery Fall,/home/maccamp/shernook/bams/DPCh_plate1_D06_S42.bam,1.18651,Existing
DPCh_plate1_D07_S43,Spring,Feather River Hatchery Spring,/home/maccamp/shernook/bams/DPCh_plate1_D07_S43.bam,1.2881,Existing
DPCh_plate1_D08_S44,Spring,Feather River Hatchery Spring,/home/maccamp/shernook/bams/DPCh_plate1_D08_S44.bam,1.59284,Existing
DPCh_plate1_E05_S53,Fall,Feather River Hatchery Fall,/home/maccamp/shernook/bams/DPCh_plate1_E05_S53.bam,0.887101,Existing
DPCh_plate1_E06_S54,Fall,Feather River Hatchery Fall,/home/maccamp/shernook/bams/DPCh_plate1_E06_S54.bam,0.643005,Existing
DPCh_plate1_E07_S55,Spring,Feather River Hatchery Spring,/home/maccamp/shernook/bams/DPCh_plate1_E07_S55.bam,1.45449,Existing
DPCh_plate1_F05_S65,Fall,Feather River Hatchery Fall,/home/maccamp/shernook/bams/DPCh_plate1_F05_S65.bam,1.30405,Existing
DPCh_plate1_F06_S66,Fall,Feather River Hatchery Fall,/home/maccamp/shernook/bams/DPCh_plate1_F06_S66.bam,1.28044,Existing
DPCh_plate1_F07_S67,Spring,Feather River Hatchery Spring,/home/maccamp/shernook/bams/DPCh_plate1_F07_S67.bam,1.42076,Existing
DPCh_plate1_F08_S68,Spring,Feather River Hatchery Spring,/home/maccamp/shernook/bams/DPCh_plate1_F08_S68.bam,1.27169,Existing
DPCh_plate1_G05_S77,Fall,Feather River Hatchery Fall,/home/maccamp/shernook/bams/DPCh_plate1_G05_S77.bam,2.18251,Existing
DPCh_plate1_G06_S78,Fall,Feather River Hatchery Fall,/home/maccamp/shernook/bams/DPCh_plate1_G06_S78.bam,1.23149,Existing
DPCh_plate1_G07_S79,Spring,Feather River Hatchery Spring,/home/maccamp/shernook/bams/DPCh_plate1_G07_S79.bam,1.26503,Existing
DPCh_plate1_G08_S80,Spring,Feather River Hatchery Spring,/home/maccamp/shernook/bams/DPCh_plate1_G08_S80.bam,1.41615,Existing
DPCh_plate1_H05_S89,Fall,Feather River Hatchery Fall,/home/maccamp/shernook/bams/DPCh_plate1_H05_S89.bam,1.54476,Existing
DPCh_plate1_H06_S90,Fall,Feather River Hatchery Fall,/home/maccamp/shernook/bams/DPCh_plate1_H06_S90.bam,1.63511,Existing
DPCh_plate1_H07_S91,Spring,Feather River Hatchery Spring,/home/maccamp/shernook/bams/DPCh_plate1_H07_S91.bam,1.40236,Existing
DPCh_plate1_H08_S92,Spring,Feather River Hatchery Spring,/home/maccamp/shernook/bams/DPCh_plate1_H08_S92.bam,1.33588,Existing
DPCh_plate2_A01_S97,Fall,San Joaquin River Fall,/home/maccamp/shernook/bams/DPCh_plate2_A01_S97.bam,1.42159,Existing
DPCh_plate2_A02_S98,Fall,San Joaquin River Fall,/home/maccamp/shernook/bams/DPCh_plate2_A02_S98.bam,1.14233,Existing
DPCh_plate2_A03_S99,Late Fall,Coleman Hatchery Late Fall,/home/maccamp/shernook/bams/DPCh_plate2_A03_S99.bam,1.61455,Existing
DPCh_plate2_A04_S100,Late Fall,Coleman Hatchery Late Fall,/home/maccamp/shernook/bams/DPCh_plate2_A04_S100.bam,1.14074,Existing
DPCh_plate2_A05_S101,Winter,Sacramento River Winter,/home/maccamp/shernook/bams/DPCh_plate2_A05_S101.bam,0.966201,Existing
DPCh_plate2_A06_S102,Winter,Sacramento River Winter,/home/maccamp/shernook/bams/DPCh_plate2_A06_S102.bam,1.3546,Existing
DPCh_plate2_A07_S103,Spring,Butte Creek Spring,/home/maccamp/shernook/bams/DPCh_plate2_A07_S103.bam,1.56008,Existing
DPCh_plate2_A08_S104,Spring,Butte Creek Spring,/home/maccamp/shernook/bams/DPCh_plate2_A08_S104.bam,0.569022,Existing
DPCh_plate2_B01_S105,Fall,San Joaquin River Fall,/home/maccamp/shernook/bams/DPCh_plate2_B01_S105.bam,1.61985,Existing
DPCh_plate2_B02_S106,Fall,San Joaquin River Fall,/home/maccamp/shernook/bams/DPCh_plate2_B02_S106.bam,2.02346,Existing
DPCh_plate2_B03_S107,Late Fall,Coleman Hatchery Late Fall,/home/maccamp/shernook/bams/DPCh_plate2_B03_S107.bam,1.25631,Existing
DPCh_plate2_B04_S108,Late Fall,Coleman Hatchery Late Fall,/home/maccamp/shernook/bams/DPCh_plate2_B04_S108.bam,0.662875,Existing
DPCh_plate2_B05_S109,Winter,Sacramento River Winter,/home/maccamp/shernook/bams/DPCh_plate2_B05_S109.bam,1.72189,Existing
DPCh_plate2_B06_S110,Winter,Sacramento River Winter,/home/maccamp/shernook/bams/DPCh_plate2_B06_S110.bam,1.74834,Existing
DPCh_plate2_B07_S111,Spring,Butte Creek Spring,/home/maccamp/shernook/bams/DPCh_plate2_B07_S111.bam,1.26929,Existing
DPCh_plate2_B08_S112,Spring,Butte Creek Spring,/home/maccamp/shernook/bams/DPCh_plate2_B08_S112.bam,0.967269,Existing
DPCh_plate2_C01_S113,Fall,San Joaquin River Fall,/home/maccamp/shernook/bams/DPCh_plate2_C01_S113.bam,1.29413,Existing
DPCh_plate2_C02_S114,Fall,San Joaquin River Fall,/home/maccamp/shernook/bams/DPCh_plate2_C02_S114.bam,1.2897,Existing
DPCh_plate2_C03_S115,Late Fall,Coleman Hatchery Late Fall,/home/maccamp/shernook/bams/DPCh_plate2_C03_S115.bam,1.44121,Existing
DPCh_plate2_C04_S116,Late Fall,Coleman Hatchery Late Fall,/home/maccamp/shernook/bams/DPCh_plate2_C04_S116.bam,1.24953,Existing
DPCh_plate2_C05_S117,Winter,Sacramento River Winter,/home/maccamp/shernook/bams/DPCh_plate2_C05_S117.bam,1.11872,Existing
DPCh_plate2_C06_S118,Winter,Sacramento River Winter,/home/maccamp/shernook/bams/DPCh_plate2_C06_S118.bam,1.8565,Existing
DPCh_plate2_C07_S119,Spring,Butte Creek Spring,/home/maccamp/shernook/bams/DPCh_plate2_C07_S119.bam,0.988591,Existing
DPCh_plate2_D01_S121,Fall,San Joaquin River Fall,/home/maccamp/shernook/bams/DPCh_plate2_D01_S121.bam,1.48942,Existing
DPCh_plate2_D02_S122,Fall,San Joaquin River Fall,/home/maccamp/shernook/bams/DPCh_plate2_D02_S122.bam,1.39757,Existing
DPCh_plate2_D03_S123,Late Fall,Coleman Hatchery Late Fall,/home/maccamp/shernook/bams/DPCh_plate2_D03_S123.bam,1.42507,Existing
DPCh_plate2_D04_S124,Late Fall,Coleman Hatchery Late Fall,/home/maccamp/shernook/bams/DPCh_plate2_D04_S124.bam,1.2161,Existing
DPCh_plate2_D05_S125,Winter,Sacramento River Winter,/home/maccamp/shernook/bams/DPCh_plate2_D05_S125.bam,1.74885,Existing
DPCh_plate2_D06_S126,Winter,Sacramento River Winter,/home/maccamp/shernook/bams/DPCh_plate2_D06_S126.bam,1.95742,Existing
DPCh_plate2_D07_S127,Spring,Butte Creek Spring,/home/maccamp/shernook/bams/DPCh_plate2_D07_S127.bam,1.87868,Existing
DPCh_plate2_D08_S128,Spring,Butte Creek Spring,/home/maccamp/shernook/bams/DPCh_plate2_D08_S128.bam,2.73778,Existing
DPCh_plate2_E01_S129,Fall,San Joaquin River Fall,/home/maccamp/shernook/bams/DPCh_plate2_E01_S129.bam,1.4786300000000001,Existing
DPCh_plate2_E02_S130,Fall,San Joaquin River Fall,/home/maccamp/shernook/bams/DPCh_plate2_E02_S130.bam,1.42553,Existing
DPCh_plate2_E03_S131,Late Fall,Coleman Hatchery Late Fall,/home/maccamp/shernook/bams/DPCh_plate2_E03_S131.bam,1.38949,Existing
DPCh_plate2_E04_S132,Late Fall,Coleman Hatchery Late Fall,/home/maccamp/shernook/bams/DPCh_plate2_E04_S132.bam,1.5219,Existing
DPCh_plate2_E05_S133,Winter,Sacramento River Winter,/home/maccamp/shernook/bams/DPCh_plate2_E05_S133.bam,1.49485,Existing
DPCh_plate2_E06_S134,Winter,Sacramento River Winter,/home/maccamp/shernook/bams/DPCh_plate2_E06_S134.bam,2.01624,Existing
DPCh_plate2_E07_S135,Spring,Butte Creek Spring,/home/maccamp/shernook/bams/DPCh_plate2_E07_S135.bam,1.55325,Existing
DPCh_plate2_E08_S136,Spring,Butte Creek Spring,/home/maccamp/shernook/bams/DPCh_plate2_E08_S136.bam,0.875735,Existing
DPCh_plate2_F01_S137,Fall,San Joaquin River Fall,/home/maccamp/shernook/bams/DPCh_plate2_F01_S137.bam,1.70787,Existing
DPCh_plate2_F02_S138,Fall,San Joaquin River Fall,/home/maccamp/shernook/bams/DPCh_plate2_F02_S138.bam,1.57726,Existing
DPCh_plate2_F03_S139,Late Fall,Coleman Hatchery Late Fall,/home/maccamp/shernook/bams/DPCh_plate2_F03_S139.bam,1.5747,Existing
DPCh_plate2_F04_S140,Late Fall,Coleman Hatchery Late Fall,/home/maccamp/shernook/bams/DPCh_plate2_F04_S140.bam,1.29507,Existing
DPCh_plate2_F05_S141,Winter,Sacramento River Winter,/home/maccamp/shernook/bams/DPCh_plate2_F05_S141.bam,1.55537,Existing
DPCh_plate2_F06_S142,Winter,Sacramento River Winter,/home/maccamp/shernook/bams/DPCh_plate2_F06_S142.bam,2.16937,Existing
DPCh_plate2_F07_S143,Spring,Butte Creek Spring,/home/maccamp/shernook/bams/DPCh_plate2_F07_S143.bam,1.55325,Existing
DPCh_plate2_F08_S144,Spring,Butte Creek Spring,/home/maccamp/shernook/bams/DPCh_plate2_F08_S144.bam,0.996617,Existing
DPCh_plate2_G01_S145,Fall,San Joaquin River Fall,/home/maccamp/shernook/bams/DPCh_plate2_G01_S145.bam,1.83365,Existing
DPCh_plate2_G02_S146,Fall,San Joaquin River Fall,/home/maccamp/shernook/bams/DPCh_plate2_G02_S146.bam,1.96949,Existing
DPCh_plate2_G03_S147,Late Fall,Coleman Hatchery Late Fall,/home/maccamp/shernook/bams/DPCh_plate2_G03_S147.bam,1.93257,Existing
DPCh_plate2_G04_S148,Late Fall,Coleman Hatchery Late Fall,/home/maccamp/shernook/bams/DPCh_plate2_G04_S148.bam,1.63154,Existing
DPCh_plate2_G05_S149,Winter,Sacramento River Winter,/home/maccamp/shernook/bams/DPCh_plate2_G05_S149.bam,1.57736,Existing
DPCh_plate2_G06_S150,Winter,Sacramento River Winter,/home/maccamp/shernook/bams/DPCh_plate2_G06_S150.bam,0.844599,Existing
DPCh_plate2_G07_S151,Spring,Butte Creek Spring,/home/maccamp/shernook/bams/DPCh_plate2_G07_S151.bam,2.01421,Existing
DPCh_plate2_G08_S152,Spring,Butte Creek Spring,/home/maccamp/shernook/bams/DPCh_plate2_G08_S152.bam,0.846337,Existing
DPCh_plate2_H01_S153,Fall,San Joaquin River Fall,/home/maccamp/shernook/bams/DPCh_plate2_H01_S153.bam,1.35898,Existing
DPCh_plate2_H02_S154,Fall,San Joaquin River Fall,/home/maccamp/shernook/bams/DPCh_plate2_H02_S154.bam,2.22132,Existing
DPCh_plate2_H03_S155,Late Fall,Coleman Hatchery Late Fall,/home/maccamp/shernook/bams/DPCh_plate2_H03_S155.bam,1.71644,Existing
DPCh_plate2_H04_S156,Late Fall,Coleman Hatchery Late Fall,/home/maccamp/shernook/bams/DPCh_plate2_H04_S156.bam,1.68548,Existing
DPCh_plate2_H05_S157,Winter,Sacramento River Winter,/home/maccamp/shernook/bams/DPCh_plate2_H05_S157.bam,2.08629,Existing
DPCh_plate2_H06_S158,Winter,Sacramento River Winter,/home/maccamp/shernook/bams/DPCh_plate2_H06_S158.bam,2.46558,Existing
DPCh_plate2_H07_S159,Spring,Butte Creek Spring,/home/maccamp/shernook/bams/DPCh_plate2_H07_S159.bam,1.64135,Existing
DPCh_plate2_H08_S160,Spring,Butte Creek Spring,/home/maccamp/shernook/bams/DPCh_plate2_H08_S160.bam,1.08703,Existing
